Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link_0,-0.031213,8.5802E-08,0.12282,0,0,0,13.423,0.11178,-2.1827E-09,-0.00063942,0.13763,-7.0531E-09,0.086579,0,0,0,0,0,0,package://scara_sam/meshes/link_0.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://scara_sam/meshes/link_0.STL,,SCARA-base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.11518,-1.8638E-06,0.1236,0,0,0,8.9496,0.022653,-8.8509E-07,0.011632,0.084027,-1.1025E-06,0.070217,0,0,0,0,0,0,package://scara_sam/meshes/link_1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://scara_sam/meshes/link_1.STL,,SCARA-link 1-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0,0,0.2,0,0,3.1416,link_0,0,0,1,50,60,-2.1817,2.1817,,,,4,,,,
link_2,0.16745911710476,-2.76162417424873E-17,0.0918796797294344,0,0,0,3.59927669194501,0.0248444984772697,3.77403760282018E-19,-0.0116358583582353,0.0475946509596512,1.36696266045529E-18,0.0278763601445839,0,0,0,0,0,0,package://scara_sam/meshes/link_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://scara_sam/meshes/link_2.STL,,SCARA-link 2-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,-0.23,0,0.025,0,0,3.1416,link_1,0,0,1,45,60,-2.1817,2.1817,,,,4,,,,
link_3,0,-2.13445690039565E-17,-0.0150798872568919,0,0,0,0.113662822206879,0.00029291760888769,9.43978515045515E-22,1.12516646700694E-20,0.00029291760888769,9.79685357039085E-21,1.4396159839516E-05,0,0,0,0,0,0,package://scara_sam/meshes/link_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://scara_sam/meshes/link_3.STL,,SCARA-end effector-1,Origin_joint_3,Axis_joint_3,joint_3,prismatic,0.23,0,0,0,0,0,link_2,0,0,1,0,0,0,0,,,,,,,,
